CONTROL,WEIGHT,TENURE,INCOME,RENT,MORT_AMT,HOME_VAL,MOVE_YEAR,DIVISION,METRO,TOTROOMS,PERPOVLVL,SOURCE,SURVEY_YEAR,IS_OWNER,IS_RENTER,EDU_TIER,YEARS_US,DIV_MEDIAN_RENT,Rp,LATE_PAYMENT_FLAG,EVICTION_THREAT,HOUSING_DISTRESS,E_norm,T_norm,HC_WCI
11000002,813.89019371,,,,,,,1,99998,6,,AHS_2023,2023,0,0,,,1100.0,,,,,,,
11000003,581.10323056,2,48000.0,840.0,,,2023.0,7,99998,4,199.0,AHS_2023,2023,0,1,3.0,0.0,1100.0,0.7636363636363637,0.0,0.0,0.0,0.5,0.0,0.4212121212121212
11000005,7335.9650008,1,292500.0,,,245790.0,1995.0,7,99998,7,501.0,AHS_2023,2023,1,0,5.0,28.0,1100.0,,,,,1.0,0.9333333333333333,
11000006,6562.8659414,1,56000.0,,,158200.0,2019.0,7,99998,5,232.0,AHS_2023,2023,1,0,3.0,4.0,1100.0,,,,,0.5,0.13333333333333333,
11000008,1490.8005997,2,36000.0,800.0,,,2019.0,4,99998,3,231.0,AHS_2023,2023,0,1,4.0,4.0,690.0,1.1594202898550725,1.0,1.0,1.0,0.75,0.13333333333333333,0.6809178743961354
11000009,2210.1301981,,,,,938623.0,,5,99998,5,,AHS_2023,2023,0,0,,,1200.0,,,,,,,
11000010,234.18955005,2,31400.0,1400.0,,,2020.0,4,99998,5,202.0,AHS_2023,2023,0,1,1.0,3.0,690.0,2.028985507246377,0.0,0.0,0.0,0.0,0.1,0.7096618357487924
11000013,4009.2945977,1,186200.0,,,750785.0,2023.0,5,37980,9,501.0,AHS_2023,2023,1,0,5.0,0.0,1200.0,,,,,1.0,0.0,
11000015,2314.6885241,2,988000.0,1600.0,,,2022.0,5,37980,6,501.0,AHS_2023,2023,0,1,3.0,1.0,1200.0,1.3333333333333333,,,,0.5,0.03333333333333333,0.6222222222222222
11000016,3778.0426344,1,158000.0,,,543916.0,2022.0,5,37980,6,501.0,AHS_2023,2023,1,0,4.0,1.0,1200.0,,,,,0.75,0.03333333333333333,
11000019,710.48792383,2,49900.0,1200.0,,,2022.0,1,99998,3,348.0,AHS_2023,2023,0,1,5.0,1.0,1100.0,1.0909090909090908,,,,1.0,0.03333333333333333,0.708080808080808
11000021,5647.6876202,2,176700.0,3000.0,,,2018.0,1,99998,11,273.0,AHS_2023,2023,0,1,4.0,5.0,1100.0,2.6881720430107525,0.0,0.0,0.0,0.75,0.16666666666666666,1.2016129032258063
11000025,609.41072115,2,15600.0,250.0,,,2018.0,5,99998,3,86.0,AHS_2023,2023,0,1,1.0,5.0,1200.0,0.20833333333333334,,,,0.0,0.16666666666666666,0.125
11000028,412.45297684,,,,,,,4,99998,4,,AHS_2023,2023,0,0,,,690.0,,,,,,,
11000030,4221.4394339,,,,,,,7,99998,6,,AHS_2023,2023,0,0,,,1100.0,,,,,,,
11000032,2054.0057384,2,85000.0,1500.0,,,2022.0,5,37980,2,501.0,AHS_2023,2023,0,1,5.0,1.0,1200.0,1.25,,,,1.0,0.03333333333333333,0.7611111111111111
11000033,2456.3693671,1,61900.0,,,399448.0,2012.0,5,37980,6,264.0,AHS_2023,2023,1,0,5.0,11.0,1200.0,,,,,1.0,0.36666666666666664,
11000035,579.87248226,2,1200.0,340.0,,,2016.0,5,99998,3,8.0,AHS_2023,2023,0,1,3.0,7.0,1200.0,0.2833333333333333,0.0,0.0,0.0,0.5,0.23333333333333334,0.33888888888888885
11000039,575.02326794,,,,,,,7,99998,6,,AHS_2023,2023,0,0,,,1100.0,,,,,,,
11000040,373.78366625,,,,,,,7,99998,4,,AHS_2023,2023,0,0,,,1100.0,,,,,,,
11000049,2172.8651179,,,,,2432.0,,4,99999,4,,AHS_2023,2023,0,0,,,690.0,,,,,,,
11000053,7335.9650008,1,67800.0,,,164922.0,2013.0,7,99998,7,474.0,AHS_2023,2023,1,0,4.0,10.0,1100.0,,,,,0.75,0.3333333333333333,
11000054,2054.0057384,1,43200.0,,,156187.0,2000.0,5,37980,4,277.0,AHS_2023,2023,1,0,4.0,23.0,1200.0,,,,,0.75,0.7666666666666667,
11000055,5515.2195598,1,159600.0,,1064.0,223476.0,2002.0,4,99998,6,501.0,AHS_2023,2023,1,0,4.0,21.0,690.0,,0.0,,0.0,0.75,0.7,
11000057,2210.1301981,,,,,1004390.0,,5,99998,5,,AHS_2023,2023,0,0,,,1200.0,,,,,,,
11000061,7891.1532181,2,31000.0,870.0,,,2022.0,7,99998,3,199.0,AHS_2023,2023,0,1,4.0,1.0,1100.0,0.7909090909090909,0.0,0.0,0.0,0.75,0.03333333333333333,0.5247474747474749
