Country,State_Name,Years_in_US,Education_Group,Total_People,Sum_Mortgages,Sum_Income,Sum_Rent,Total_Renters,State_Rent_Benchmark,Mortgaged_Ownership_Rate,Avg_Income,Avg_Rent_Paid_Renters,Rent_Performance_Ratio
Bangladesh,Alabama,0,5_College+ (Bachelor or Higher),412.0,0.0,3084800.0,245000.0,412.0,725.0526186941524,0.0,7487.378640776699,594.6601941747573,0.8201614322085521
Bangladesh,Alabama,1,5_College+ (Bachelor or Higher),1847.0,223.0,17293700.0,970850.0,1624.0,725.0526186941524,12.073632918245805,9363.129399025447,597.814039408867,0.8245112478671589
Bangladesh,Alabama,2,5_College+ (Bachelor or Higher),778.0,76.0,13353400.0,426390.0,702.0,725.0526186941524,9.768637532133676,17163.75321336761,607.3931623931624,0.8377228724269705
Bangladesh,Alabama,3,5_College+ (Bachelor or Higher),1241.0,93.0,17687800.0,590560.0,1148.0,725.0526186941524,7.4939564867042705,14252.860596293312,514.4250871080139,0.7095003505187157
Bangladesh,Alabama,4,5_College+ (Bachelor or Higher),198.0,0.0,5180200.0,111240.0,198.0,725.0526186941524,0.0,26162.62626262626,561.8181818181819,0.7748653922939247
Bangladesh,Alabama,5,5_College+ (Bachelor or Higher),138.0,0.0,1242000.0,110400.0,138.0,725.0526186941524,0.0,9000.0,800.0,1.1033681961466888
Bangladesh,Alabama,6,5_College+ (Bachelor or Higher),123.0,0.0,2248000.0,62150.0,123.0,725.0526186941524,0.0,18276.422764227642,505.2845528455285,0.6968936320174463
Bangladesh,Alabama,7,5_College+ (Bachelor or Higher),138.0,0.0,3339600.0,73140.0,138.0,725.0526186941524,0.0,24200.0,530.0,0.7309814299471814
Bangladesh,Alabama,8,5_College+ (Bachelor or Higher),146.0,92.0,8928000.0,48600.0,54.0,725.0526186941524,63.013698630136986,61150.68493150685,900.0,1.241289220665025
Bangladesh,Alabama,19,5_College+ (Bachelor or Higher),375.0,177.0,26328000.0,120780.0,198.0,725.0526186941524,47.199999999999996,70208.0,610.0,0.8413182495618503
Bangladesh,Arizona,1,5_College+ (Bachelor or Higher),911.0,0.0,11222700.0,824930.0,911.0,962.1140767720321,0.0,12319.099890230516,905.5214050493963,0.9411788341019719
Bangladesh,Arizona,2,1_Low (No/Primary),206.0,0.0,0.0,247200.0,206.0,962.1140767720321,0.0,0.0,1200.0,1.247253344453803
Bangladesh,Arizona,2,2_Some High School,269.0,0.0,0.0,305900.0,269.0,962.1140767720321,0.0,0.0,1137.174721189591,1.1819541451933653
Bangladesh,Arizona,2,3_HS Graduate,166.0,0.0,0.0,182600.0,166.0,962.1140767720321,0.0,0.0,1100.0,1.1433155657493193
Bangladesh,Arizona,2,4_Some College,175.0,0.0,875000.0,192500.0,175.0,962.1140767720321,0.0,5000.0,1100.0,1.1433155657493193
Bangladesh,Arizona,2,5_College+ (Bachelor or Higher),1065.0,140.0,41512000.0,1003660.0,815.0,962.1140767720321,13.145539906103288,38978.403755868545,1231.484662576687,1.2799778033686133
Bangladesh,Arizona,3,4_Some College,110.0,0.0,1100000.0,132000.0,110.0,962.1140767720321,0.0,10000.0,1200.0,1.247253344453803
Bangladesh,Arizona,3,5_College+ (Bachelor or Higher),650.0,148.0,7428400.0,561000.0,328.0,962.1140767720321,22.76923076923077,11428.307692307691,1710.3658536585365,1.777716276012661
Bangladesh,Arizona,4,3_HS Graduate,232.0,0.0,140600.0,148520.0,158.0,962.1140767720321,0.0,606.0344827586207,940.0,0.9770151198221456
Bangladesh,Arizona,4,5_College+ (Bachelor or Higher),235.0,0.0,2975000.0,99080.0,171.0,962.1140767720321,0.0,12659.574468085106,579.4152046783626,0.602231293218727
Bangladesh,Arizona,5,3_HS Graduate,258.0,152.0,0.0,106000.0,106.0,962.1140767720321,58.91472868217055,0.0,1000.0,1.0393777870448357
Bangladesh,Arizona,5,5_College+ (Bachelor or Higher),330.0,0.0,5486800.0,281620.0,330.0,962.1140767720321,0.0,16626.666666666668,853.3939393939394,0.8869987042047474
Bangladesh,Arizona,6,5_College+ (Bachelor or Higher),723.0,159.0,35910000.0,552340.0,564.0,962.1140767720321,21.991701244813278,49668.04979253112,979.3262411347517,1.0178899413055755
Bangladesh,Arizona,7,5_College+ (Bachelor or Higher),207.0,0.0,8053200.0,215640.0,207.0,962.1140767720321,0.0,38904.34782608696,1041.7391304347825,1.0827605120693158
Bangladesh,Arizona,8,5_College+ (Bachelor or Higher),106.0,0.0,3286000.0,106000.0,106.0,962.1140767720321,0.0,31000.0,1000.0,1.0393777870448357
Bangladesh,Arizona,9,5_College+ (Bachelor or Higher),350.0,64.0,13977300.0,26520.0,51.0,962.1140767720321,18.285714285714285,39935.142857142855,520.0,0.5404764492633146
Bangladesh,Arizona,10,4_Some College,118.0,0.0,1770000.0,82600.0,118.0,962.1140767720321,0.0,15000.0,700.0,0.727564450931385
Bangladesh,Arizona,10,5_College+ (Bachelor or Higher),407.0,253.0,10190400.0,132960.0,154.0,962.1140767720321,62.16216216216216,25037.837837837837,863.3766233766233,0.8973744841914374
Bangladesh,Arizona,11,1_Low (No/Primary),170.0,0.0,1908900.0,364500.0,170.0,962.1140767720321,0.0,11228.823529411764,2144.1176470588234,2.2285482551637803
Bangladesh,Arizona,11,3_HS Graduate,285.0,0.0,3544100.0,49950.0,111.0,962.1140767720321,0.0,12435.438596491229,450.0,0.4677200041701761
Bangladesh,Arizona,11,5_College+ (Bachelor or Higher),500.0,65.0,29043000.0,553900.0,435.0,962.1140767720321,13.0,58086.0,1273.3333333333333,1.3234743821704242
Bangladesh,Arizona,12,3_HS Graduate,105.0,0.0,3244500.0,199500.0,105.0,962.1140767720321,0.0,30900.0,1900.0,1.974817795385188
Bangladesh,Arizona,13,3_HS Graduate,323.0,167.0,34595000.0,113880.0,156.0,962.1140767720321,51.702786377708975,107105.26315789473,730.0,0.7587457845427301
Bangladesh,Arizona,13,4_Some College,168.0,0.0,2332000.0,161280.0,168.0,962.1140767720321,0.0,13880.952380952382,960.0,0.9978026755630424
Bangladesh,Arizona,14,5_College+ (Bachelor or Higher),539.0,303.0,58372000.0,154000.0,110.0,962.1140767720321,56.21521335807051,108296.84601113173,1400.0,1.45512890186277
Bangladesh,Arizona,15,4_Some College,135.0,0.0,0.0,94500.0,135.0,962.1140767720321,0.0,0.0,700.0,0.727564450931385
Bangladesh,Arizona,15,5_College+ (Bachelor or Higher),530.0,0.0,11869400.0,77350.0,221.0,962.1140767720321,0.0,22395.094339622643,350.0,0.3637822254656925
Bangladesh,Arizona,19,2_Some High School,264.0,43.0,4862000.0,331500.0,221.0,962.1140767720321,16.28787878787879,18416.666666666668,1500.0,1.5590666805672537
Bangladesh,Arizona,19,5_College+ (Bachelor or Higher),185.0,34.0,3232400.0,110230.0,151.0,962.1140767720321,18.37837837837838,17472.432432432433,730.0,0.7587457845427301
Bangladesh,Arizona,20,4_Some College,289.0,69.0,14320000.0,308000.0,220.0,962.1140767720321,23.875432525951556,49550.173010380626,1400.0,1.45512890186277
Bangladesh,Arizona,21,1_Low (No/Primary),233.0,151.0,3963600.0,196800.0,82.0,962.1140767720321,64.8068669527897,17011.15879828326,2400.0,2.494506688907606
Bangladesh,Arizona,21,5_College+ (Bachelor or Higher),1170.0,1065.0,149976000.0,54600.0,105.0,962.1140767720321,91.02564102564102,128184.61538461539,520.0,0.5404764492633146
Bangladesh,Arizona,22,3_HS Graduate,121.0,0.0,10890000.0,145200.0,121.0,962.1140767720321,0.0,90000.0,1200.0,1.247253344453803
Bangladesh,Arizona,25,2_Some High School,170.0,0.0,3060000.0,124100.0,170.0,962.1140767720321,0.0,18000.0,730.0,0.7587457845427301
Bangladesh,Arizona,25,4_Some College,406.0,271.0,18973000.0,50370.0,69.0,962.1140767720321,66.7487684729064,46731.52709359606,730.0,0.7587457845427301
Bangladesh,Arizona,25,5_College+ (Bachelor or Higher),200.0,0.0,0.0,320000.0,200.0,962.1140767720321,0.0,0.0,1600.0,1.6630044592717372
Bangladesh,Arizona,27,1_Low (No/Primary),146.0,0.0,0.0,141620.0,146.0,962.1140767720321,0.0,0.0,970.0,1.0081964534334906
Bangladesh,Arizona,27,5_College+ (Bachelor or Higher),162.0,0.0,10340000.0,82810.0,91.0,962.1140767720321,0.0,63827.16049382716,910.0,0.9458337862108005
Bangladesh,Arizona,28,5_College+ (Bachelor or Higher),222.0,79.0,8349000.0,138710.0,143.0,962.1140767720321,35.585585585585584,37608.10810810811,970.0,1.0081964534334906
Bangladesh,Arkansas,0,5_College+ (Bachelor or Higher),916.0,350.0,10744100.0,356190.0,566.0,687.6879434948625,38.209606986899566,11729.366812227074,629.3109540636042,0.9151112216180733
Bangladesh,Arkansas,1,5_College+ (Bachelor or Higher),354.0,0.0,3846000.0,118290.0,210.0,687.6879434948625,0.0,10864.406779661016,563.2857142857143,0.8191007558211212
Bangladesh,Arkansas,2,5_College+ (Bachelor or Higher),227.0,0.0,9685000.0,115770.0,227.0,687.6879434948625,0.0,42665.19823788546,510.0,0.7416154446567087
Bangladesh,Arkansas,3,5_College+ (Bachelor or Higher),538.0,0.0,9750000.0,321520.0,538.0,687.6879434948625,0.0,18122.67657992565,597.6208178438661,0.8690290756105582
Bangladesh,Arkansas,4,5_College+ (Bachelor or Higher),361.0,0.0,6095500.0,347400.0,361.0,687.6879434948625,0.0,16885.041551246537,962.3268698060942,1.3993656263849907
Bangladesh,Arkansas,5,4_Some College,103.0,0.0,0.0,51500.0,103.0,687.6879434948625,0.0,0.0,500.0,0.7270739653497145
Bangladesh,Arkansas,5,5_College+ (Bachelor or Higher),528.0,0.0,12472280.0,286690.0,528.0,687.6879434948625,0.0,23621.742424242424,542.9734848484849,0.789563769417082
Bangladesh,Arkansas,18,3_HS Graduate,436.0,0.0,4161000.0,142350.0,219.0,687.6879434948625,0.0,9543.577981651377,650.0,0.9451961549546287
