SURVEY_YEAR,IS_OWNER,IS_RENTER,EDU_TIER,Rp,YEARS_US,E_norm,T_norm,HC_WCI,LATE_PAYMENT_FLAG,HOUSING_DISTRESS,CREDIT_EXCLUDED,INCOME,WEIGHT,SOURCE
2023,0,0,,,,,,,,,,,813.89019371,AHS_2023
2023,0,1,3.0,0.7636363636363637,0.0,0.5,0.0,0.4212121212121212,0.0,0.0,,48000.0,581.10323056,AHS_2023
2023,1,0,5.0,,28.0,1.0,0.9333333333333333,,,,,292500.0,7335.9650008,AHS_2023
2023,1,0,3.0,,4.0,0.5,0.13333333333333333,,,,,56000.0,6562.8659414,AHS_2023
2023,0,1,4.0,1.1594202898550725,4.0,0.75,0.13333333333333333,0.6809178743961354,1.0,1.0,,36000.0,1490.8005997,AHS_2023
2023,0,0,,,,,,,,,,,2210.1301981,AHS_2023
2023,0,1,1.0,2.028985507246377,3.0,0.0,0.1,0.7096618357487924,0.0,0.0,,31400.0,234.18955005,AHS_2023
2023,1,0,5.0,,0.0,1.0,0.0,,,,,186200.0,4009.2945977,AHS_2023
2023,0,1,3.0,1.3333333333333333,1.0,0.5,0.03333333333333333,0.6222222222222222,,,,988000.0,2314.6885241,AHS_2023
2023,1,0,4.0,,1.0,0.75,0.03333333333333333,,,,,158000.0,3778.0426344,AHS_2023
2023,0,1,5.0,1.0909090909090908,1.0,1.0,0.03333333333333333,0.708080808080808,,,,49900.0,710.48792383,AHS_2023
2023,0,1,4.0,2.6881720430107525,5.0,0.75,0.16666666666666666,1.2016129032258063,0.0,0.0,,176700.0,5647.6876202,AHS_2023
2023,0,1,1.0,0.20833333333333334,5.0,0.0,0.16666666666666666,0.125,,,,15600.0,609.41072115,AHS_2023
2023,0,0,,,,,,,,,,,412.45297684,AHS_2023
2023,0,0,,,,,,,,,,,4221.4394339,AHS_2023
2023,0,1,5.0,1.25,1.0,1.0,0.03333333333333333,0.7611111111111111,,,,85000.0,2054.0057384,AHS_2023
2023,1,0,5.0,,11.0,1.0,0.36666666666666664,,,,,61900.0,2456.3693671,AHS_2023
2023,0,1,3.0,0.2833333333333333,7.0,0.5,0.23333333333333334,0.33888888888888885,0.0,0.0,,1200.0,579.87248226,AHS_2023
2023,0,0,,,,,,,,,,,575.02326794,AHS_2023
2023,0,0,,,,,,,,,,,373.78366625,AHS_2023
2023,0,0,,,,,,,,,,,2172.8651179,AHS_2023
2023,1,0,4.0,,10.0,0.75,0.3333333333333333,,,,,67800.0,7335.9650008,AHS_2023
2023,1,0,4.0,,23.0,0.75,0.7666666666666667,,,,,43200.0,2054.0057384,AHS_2023
2023,1,0,4.0,,21.0,0.75,0.7,,0.0,0.0,,159600.0,5515.2195598,AHS_2023
2023,0,0,,,,,,,,,,,2210.1301981,AHS_2023
2023,0,1,4.0,0.7909090909090909,1.0,0.75,0.03333333333333333,0.5247474747474749,0.0,0.0,,31000.0,7891.1532181,AHS_2023
2023,0,0,,,,,,,,,,,2210.1301981,AHS_2023
2023,1,0,4.0,,21.0,0.75,0.7,,,,,15000.0,5145.1700042,AHS_2023
2023,0,1,5.0,2.4545454545454546,4.0,1.0,0.13333333333333333,1.195959595959596,,,,106000.0,5647.6876202,AHS_2023
2023,0,1,3.0,0.8636363636363636,1.0,0.5,0.03333333333333333,0.4656565656565657,0.0,0.0,,20000.0,709.89938309,AHS_2023
2023,1,0,4.0,,30.0,0.75,1.0,,,,,36000.0,7335.9650008,AHS_2023
2023,0,0,,,,,,,,,,,1169.2868477,AHS_2023
2023,1,0,3.0,,19.0,0.5,0.6333333333333333,,,,,73000.0,546.04793159,AHS_2023
2023,0,0,,,,,,,,,,,4221.4394339,AHS_2023
2023,0,0,,,,,,,,,,,1000.8921621,AHS_2023
2023,0,0,,,,,,,,,,,277.52351983,AHS_2023
2023,1,0,5.0,,13.0,1.0,0.43333333333333335,,,,,411000.0,1284.4299232,AHS_2023
2023,0,0,,,,,,,,,,,233.11449468,AHS_2023
2023,0,1,5.0,2.6881720430107525,1.0,1.0,0.03333333333333333,1.2405017921146952,,,,215000.0,1594.6084609,AHS_2023
2023,0,0,,,,,,,,,,,1000.8921621,AHS_2023
2023,0,1,3.0,0.8823529411764706,5.0,0.5,0.16666666666666666,0.5163398692810458,0.0,0.0,,63500.0,932.54977646,AHS_2023
2023,0,0,,,,,,,,,,,2258.8130651,AHS_2023
2023,0,1,1.0,0.09090909090909091,3.0,0.0,0.1,0.06363636363636364,0.0,0.0,,0.0,822.6889463,AHS_2023
2023,1,0,4.0,,20.0,0.75,0.6666666666666666,,,,,26600.0,3288.3321566,AHS_2023
2023,1,0,5.0,,30.0,1.0,1.0,,,,,76000.0,935.65026,AHS_2023
2023,0,1,4.0,0.8235294117647058,2.0,0.75,0.06666666666666667,0.5467320261437908,,,,111000.0,710.18126414,AHS_2023
2023,1,0,5.0,,2.0,1.0,0.06666666666666667,,,,,415500.0,1284.4299232,AHS_2023
2023,0,1,5.0,0.20833333333333334,7.0,1.0,0.23333333333333334,0.48055555555555557,0.0,0.0,,11000.0,449.02074625,AHS_2023
2023,0,0,,,,,,,,,,,2202.7548476,AHS_2023
2023,0,1,2.0,0.9636363636363636,2.0,0.25,0.06666666666666667,0.42676767676767674,1.0,1.0,,11000.0,4896.2340355,AHS_2023
2023,1,0,5.0,,28.0,1.0,0.9333333333333333,,,,,110004.0,1516.9180519,AHS_2023
2023,1,0,3.0,,13.0,0.5,0.43333333333333335,,,,,24000.0,3623.2632471,AHS_2023
2023,0,1,4.0,0.16363636363636364,2.0,0.75,0.06666666666666667,0.32676767676767676,,,,7000.0,464.39670942,AHS_2023
2023,1,0,5.0,,3.0,1.0,0.1,,0.0,0.0,,656000.0,1594.6084609,AHS_2023
2023,1,0,5.0,,30.0,1.0,1.0,,,,,137100.0,935.65026,AHS_2023
2023,0,0,,,,,,,,,,,413.5803232,AHS_2023
2023,0,0,,,,,,,,,,,1857.157424,AHS_2023
2023,1,0,4.0,,13.0,0.75,0.43333333333333335,,,,,84000.0,2752.5355021,AHS_2023
2023,0,0,,,,,,,,,,,233.11449468,AHS_2023
2023,0,0,,,,,,,,,,,2358.1416409,AHS_2023
2023,0,1,3.0,1.0909090909090908,2.0,0.5,0.06666666666666667,0.5525252525252525,0.0,0.0,,9400.0,193.62339513,AHS_2023
2023,1,0,1.0,,13.0,0.0,0.43333333333333335,,,,,18600.0,3761.3843929,AHS_2023
2023,0,1,3.0,0.3411764705882353,13.0,0.5,0.43333333333333335,0.42483660130718953,,,,14400.0,4278.232868,AHS_2023
2023,0,1,4.0,0.2,8.0,0.75,0.26666666666666666,0.4055555555555555,,,,14400.0,613.25204473,AHS_2023
2023,0,1,5.0,1.0,9.0,1.0,0.3,0.7666666666666666,,,,60000.0,1294.5002415,AHS_2023
2023,0,1,2.0,0.9636363636363636,4.0,0.25,0.13333333333333333,0.448989898989899,1.0,1.0,,19300.0,5967.3291785,AHS_2023
2023,0,0,,,,,,,,,,,1000.8921621,AHS_2023
2023,0,1,5.0,0.9166666666666666,13.0,1.0,0.43333333333333335,0.7833333333333332,0.0,0.0,,84900.0,935.65026,AHS_2023
2023,0,0,2.0,,1.0,0.25,0.03333333333333333,,,,,9700.0,577.43446276,AHS_2023
2023,0,1,3.0,0.31666666666666665,14.0,0.5,0.4666666666666667,0.42777777777777776,,,,19600.0,233.19317795,AHS_2023
2023,1,0,5.0,,2.0,1.0,0.06666666666666667,,,,,135600.0,2994.4761331,AHS_2023
2023,0,1,3.0,0.17058823529411765,0.0,0.5,0.0,0.2235294117647059,0.0,1.0,,14000.0,254.63255914,AHS_2023
2023,1,0,4.0,,7.0,0.75,0.23333333333333334,,,,,73000.0,4923.2021338,AHS_2023
2023,0,1,4.0,1.0727272727272728,8.0,0.75,0.26666666666666666,0.6964646464646465,,,,45400.0,118.9216487,AHS_2023
2023,1,0,1.0,,8.0,0.0,0.26666666666666666,,,,,84000.0,1377.7973509,AHS_2023
2023,1,0,5.0,,7.0,1.0,0.23333333333333334,,0.0,0.0,,34900.0,935.65026,AHS_2023
2023,0,1,5.0,1.3333333333333333,30.0,1.0,1.0,1.111111111111111,0.0,0.0,,90000.0,935.65026,AHS_2023
2023,0,1,4.0,1.3529411764705883,5.0,0.75,0.16666666666666666,0.7565359477124183,0.0,0.0,,175000.0,921.35908567,AHS_2023
2023,0,0,,,,,,,,,,,413.5803232,AHS_2023
2023,1,0,5.0,,23.0,1.0,0.7666666666666667,,,,,65000.0,2928.3306506,AHS_2023
2023,1,0,4.0,,30.0,0.75,1.0,,,,,39900.0,3289.2702745,AHS_2023
2023,0,1,3.0,1.0909090909090908,10.0,0.5,0.3333333333333333,0.6414141414141413,1.0,1.0,,0.0,856.74453317,AHS_2023
2023,0,0,,,,,,,,,,,1000.8921621,AHS_2023
2023,1,0,5.0,,0.0,1.0,0.0,,0.0,0.0,,413000.0,1594.6084609,AHS_2023
2023,0,0,,,,,,,,,,,1000.8921621,AHS_2023
2023,0,0,,,,,,,,,,,353.82291436,AHS_2023
2023,0,1,3.0,0.6333333333333333,4.0,0.5,0.13333333333333333,0.4222222222222222,0.0,0.0,,30000.0,370.47339037,AHS_2023
2023,0,1,3.0,0.058333333333333334,8.0,0.5,0.26666666666666666,0.27499999999999997,0.0,0.0,,0.0,1347.2365426,AHS_2023
2023,0,1,3.0,0.3090909090909091,21.0,0.5,0.7,0.503030303030303,0.0,0.0,,20000.0,341.1765769,AHS_2023
2023,1,0,3.0,,15.0,0.5,0.5,,0.0,0.0,,50300.0,4265.987331,AHS_2023
2023,0,0,,,,,,,,,,,196.51437666,AHS_2023
2023,0,1,3.0,1.4545454545454546,1.0,0.5,0.03333333333333333,0.6626262626262627,,,,29000.0,575.39336926,AHS_2023
2023,1,0,5.0,,30.0,1.0,1.0,,,,,50000.0,3725.6060338,AHS_2023
2023,0,1,2.0,0.25,22.0,0.25,0.7333333333333333,0.41111111111111115,1.0,1.0,,1880.0,1033.0216772,AHS_2023
2023,1,0,5.0,,3.0,1.0,0.1,,,,,110000.0,6484.2807745,AHS_2023
2023,0,1,4.0,0.7058823529411765,1.0,0.75,0.03333333333333333,0.49640522875817,,,,0.0,5924.122762,AHS_2023
2023,0,1,3.0,0.8,3.0,0.5,0.1,0.46666666666666673,0.0,1.0,,17800.0,526.17579386,AHS_2023
2023,0,1,4.0,0.16666666666666666,5.0,0.75,0.16666666666666666,0.3611111111111111,,,,10900.0,370.47339037,AHS_2023
2023,1,0,5.0,,30.0,1.0,1.0,,,,,97000.0,1939.0312955,AHS_2023
2023,0,1,3.0,1.9166666666666667,1.0,0.5,0.03333333333333333,0.8166666666666668,0.0,0.0,,62200.0,1780.5409234,AHS_2023
2023,1,0,3.0,,15.0,0.5,0.5,,,,,150000.0,3412.2071379,AHS_2023
2023,0,1,5.0,0.9166666666666666,2.0,1.0,0.06666666666666667,0.6611111111111111,0.0,0.0,,58000.0,1284.4299232,AHS_2023
2023,0,1,2.0,0.18333333333333332,12.0,0.25,0.4,0.2777777777777778,1.0,1.0,,11000.0,138.60836694,AHS_2023
2023,0,0,,,,,,,,,,,207.92470398,AHS_2023
2023,0,1,5.0,1.6,0.0,1.0,0.0,0.8666666666666667,0.0,0.0,,56200.0,5967.3291785,AHS_2023
2023,0,1,2.0,0.31176470588235294,4.0,0.25,0.13333333333333333,0.23169934640522874,,,,34300.0,408.94744141,AHS_2023
2023,0,1,3.0,1.0909090909090908,6.0,0.5,0.2,0.5969696969696969,,,,940.0,1457.8475637,AHS_2023
2023,0,0,,,,,,,,,,,581.76595698,AHS_2023
2023,1,0,4.0,,7.0,0.75,0.23333333333333334,,,,,2500.0,1511.4393602,AHS_2023
2023,1,0,5.0,,13.0,1.0,0.43333333333333335,,,,,125000.0,1158.7139344,AHS_2023
2023,0,0,,,,,,,,,,,2202.7548476,AHS_2023
2023,0,0,,,,,,,,,,,2370.453853,AHS_2023
2023,1,0,4.0,,30.0,0.75,1.0,,,,,15600.0,4127.4248574,AHS_2023
2023,0,1,4.0,0.31176470588235294,7.0,0.75,0.23333333333333334,0.4316993464052288,0.0,1.0,,0.0,585.59401247,AHS_2023
2023,0,1,4.0,2.6881720430107525,2.0,0.75,0.06666666666666667,1.168279569892473,0.0,0.0,,53600.0,4257.1809633,AHS_2023
2023,1,0,4.0,,18.0,0.75,0.6,,,,,55100.0,2752.5355021,AHS_2023
2023,0,1,2.0,0.4,6.0,0.25,0.2,0.2833333333333334,0.0,0.0,,2400.0,189.04290825,AHS_2023
2023,1,0,4.0,,19.0,0.75,0.6333333333333333,,0.0,0.0,,182000.0,1284.4299232,AHS_2023
2023,1,0,4.0,,30.0,0.75,1.0,,,,,59900.0,3761.3843929,AHS_2023
2023,1,0,5.0,,16.0,1.0,0.5333333333333333,,0.0,0.0,,52000.0,3215.7561259,AHS_2023
2023,0,0,,,,,,,,,,,1136.6803261,AHS_2023
2023,1,0,5.0,,4.0,1.0,0.13333333333333333,,,,,1200.0,1726.4444019,AHS_2023
2023,1,0,4.0,,19.0,0.75,0.6333333333333333,,,,,3150.0,2040.1296155,AHS_2023
2023,1,0,5.0,,30.0,1.0,1.0,,0.0,0.0,,41600.0,4543.0238582,AHS_2023
2023,1,0,5.0,,12.0,1.0,0.4,,,,,104050.0,6448.8764845,AHS_2023
2023,1,0,3.0,,7.0,0.5,0.23333333333333334,,,,,3100.0,5605.7196607,AHS_2023
2023,0,0,,,,,,,,,,,3231.1187873,AHS_2023
2023,1,0,3.0,,23.0,0.5,0.7666666666666667,,,,,513000.0,6685.5833224,AHS_2023
2023,0,1,2.0,0.5,20.0,0.25,0.6666666666666666,0.47222222222222215,,,,85000.0,5952.856517,AHS_2023
2023,1,0,4.0,,12.0,0.75,0.4,,,,,0.0,5310.7058949,AHS_2023
2023,0,1,4.0,0.8166666666666667,0.0,0.75,0.0,0.5222222222222223,0.0,0.0,,19000.0,494.60981684,AHS_2023
2023,0,0,,,,,,,,,,,2980.003792,AHS_2023
2023,0,1,5.0,1.021505376344086,7.0,1.0,0.23333333333333334,0.7516129032258064,0.0,0.0,,24000.0,1726.4444019,AHS_2023
2023,1,0,3.0,,13.0,0.5,0.43333333333333335,,,,,65000.0,3215.7561259,AHS_2023
2023,0,0,,,,,,,,,,,2980.003792,AHS_2023
2023,1,0,5.0,,6.0,1.0,0.2,,,,,0.0,3215.7561259,AHS_2023
2023,0,0,,,,,,,,,,,1136.6803261,AHS_2023
2023,0,0,,,,,,,,,,,1136.6803261,AHS_2023
2023,1,0,5.0,,18.0,1.0,0.6,,0.0,0.0,,315000.0,2302.3517668,AHS_2023
2023,1,0,5.0,,4.0,1.0,0.13333333333333333,,,,,300000.0,4378.8432418,AHS_2023
2023,1,0,3.0,,18.0,0.5,0.6,,,,,33600.0,4637.4512332,AHS_2023
2023,0,1,5.0,2.5806451612903225,4.0,1.0,0.13333333333333333,1.2379928315412185,,,,215000.0,6440.0154384,AHS_2023
