yy1,y1,WEIGHT,hhsex,age,agecl,educ,edcl,race,lf,married,kids,INCOME,inccat,NETWORTH,nwcat,housecl,mrthel,rent,turndown,turnfear,late,checking,saving,fin,debt,SURVEY_YEAR,SOURCE,IS_OWNER,IS_RENTER,CREDIT_EXCLUDED,EDU_TIER,Rp
1,11,6427.136675511434,2,71,5,10,3,1,0,2,0,16240.9771928138,1,217961.30777903044,3,1,0.0,,0,0,0,370.01127395715895,0.0,27504.171364148817,468.68094701240136,2016,SCF,1,0,0.0,4,
2,21,6500.518974208898,1,20,1,8,2,3,1,1,0,27484.730633992585,1,12.333709131905298,1,2,0.0,727.6888387824126,0,1,0,0.0,0.0,12.333709131905298,0.0,2016,SCF,0,1,1.0,3,0.31771335807050094
3,31,4999.900972053461,1,30,1,9,3,1,1,1,2,149916.71254905045,5,362734.38556933485,3,1,112236.75310033822,,0,0,0,6166.854565952649,3700.11273957159,315742.9537767756,133204.0586245772,2016,SCF,1,0,0.0,4,
4,41,5692.940950697071,2,33,1,8,2,3,1,2,2,52470.84939216765,3,48866.15558060879,2,1,259007.89177001128,,0,0,0,1726.7192784667418,246.67418263810598,13024.396843291996,260167.26042841037,2016,SCF,1,0,0.0,3,
5,51,6151.198236425293,1,41,2,13,4,1,1,1,1,141171.57098368916,5,249880.94701240136,3,1,145537.76775648253,,0,0,1,5426.832018038332,9373.618940248027,219663.35963923336,215839.90980834272,2016,SCF,1,0,0.0,5,
6,61,3108.598690594758,2,25,1,8,2,1,1,2,0,18739.589068631307,1,-13036.7305524239,1,2,0.0,629.0191657271703,0,1,0,1270.3720405862457,0.0,1270.3720405862457,24667.418263810596,2016,SCF,0,1,1.0,3,0.40279591836734696
7,71,2629.5279810966526,1,29,1,13,4,1,1,2,0,78706.27408825148,3,736815.7835400226,4,1,111003.38218714768,,0,0,0,1850.056369785795,20967.305524239007,251607.6662908681,111003.38218714768,2016,SCF,1,0,0.0,5,
8,81,4554.886347566488,2,30,1,6,1,2,1,1,3,32481.9543856276,2,22546.020293122885,2,2,0.0,1603.382187147689,1,1,0,0.0,0.0,345.34385569334836,0.0,2016,SCF,0,1,1.0,2,0.5923469387755103
9,91,6007.324928776609,1,21,1,9,3,1,1,2,0,21238.20094444881,1,20375.287485907553,2,2,0.0,394.67869222096954,0,0,0,493.34836527621195,11717.023675310034,15195.129650507328,0.0,2016,SCF,0,1,0.0,4,0.2230012004801921
10,101,5025.906460871596,2,48,3,11,3,1,1,2,2,52470.84939216765,3,12087.034949267192,1,1,141837.65501691093,,0,0,1,1110.033821871477,1110.033821871477,7153.551296505073,164038.33145434048,2016,SCF,1,0,0.0,4,
11,111,5773.330323392527,1,62,4,8,2,5,0,1,1,72209.88321112597,3,219663.35963923336,3,1,246674.18263810597,,0,0,1,3700.11273957159,1850.056369785795,16650.50732807215,247907.5535512965,2016,SCF,1,0,0.0,3,
12,121,7344.106153494543,2,83,6,10,3,1,0,2,0,14991.671254905044,1,505.6820744081173,1,2,0.0,493.34836527621195,0,0,0,493.34836527621195,0.0,505.6820744081173,0.0,2016,SCF,0,1,0.0,4,0.3948979591836735
13,131,5332.913671011826,1,37,2,6,1,1,1,2,0,6246.52968954377,1,12333.709131905298,1,1,0.0,,0,0,0,0.0,0.0,0.0,0.0,2016,SCF,1,0,0.0,2,
14,141,2311.949919718124,1,45,3,12,4,3,1,2,0,143670.1828595067,5,2012861.3303269448,5,2,0.0,1850.056369785795,0,0,0,0.0,41934.611048478015,1990660.6538895152,0.0,2016,SCF,0,1,0.0,5,0.15452528837622007
15,151,4126.725085561505,1,68,5,8,2,1,0,1,1,119933.37003924036,4,650048.1397970688,4,1,0.0,,0,0,0,616.6854565952649,17883.878241262682,192405.86245772266,22385.682074408116,2016,SCF,1,0,0.0,3,
16,161,490.5265085461905,1,45,3,12,4,5,1,1,3,2023875.619412181,6,10942466.741826382,5,1,259007.89177001128,,0,0,0,6166.854565952649,815258.1736189403,3973921.082299887,259007.89177001128,2016,SCF,1,0,0.0,5,
17,171,6329.400748580853,1,22,1,8,2,1,1,1,0,31232.648447718846,2,-2021.4949267192785,1,2,0.0,986.6967305524239,0,1,1,309.576099210823,12.333709131905298,445.2468996617813,14800.45095828636,2016,SCF,0,1,1.0,3,0.37910204081632654
18,181,2358.730455958409,1,64,4,14,4,1,0,1,0,544697.3889282166,6,11619957.384441938,5,1,133204.0586245772,,0,0,0,224473.50620067643,78319.05298759865,10991308.229988726,133204.0586245772,2016,SCF,1,0,0.0,5,
