Country,N_Cohorts,Weighted_Pop,Mean_MortRate,Median_MortRate,Mean_Income,Mean_YearsUS,Mean_Rp
Bangladesh,1589,2310705.0,30.42,27.41,30379.2,12.24,1.0
China,3894,18349782.0,34.76,34.11,33117.16,12.97,1.06
Dominican Republic,2605,9270198.0,24.33,19.76,28178.55,14.24,0.95
India,3646,22864410.0,40.27,42.95,45553.75,13.09,1.16
Kenya,1776,1254540.0,22.44,12.26,38238.89,12.17,1.05
Mexico,6359,85224364.0,26.85,25.46,29021.79,14.87,0.94
Nigeria,2191,3355968.0,29.15,25.76,37782.0,12.11,1.05
Philippines,3808,14277467.0,42.7,45.12,32974.12,13.92,1.05
Turkey,1261,990734.0,26.64,21.83,48623.03,12.29,1.22
Vietnam,3268,8363161.0,35.41,35.91,29812.66,14.66,0.95
