,Variable,Group,N,Mean,Median,SD
0,EDU_TIER,All,48527,3.874,4.0,1.115
1,EDU_TIER,Renters,19735,3.562,4.0,1.158
2,EDU_TIER,Owners,28192,4.099,4.0,1.026
3,INCOME,All,48527,103685.403,65000.0,148705.777
4,INCOME,Renters,19735,60886.215,37000.0,101131.72
5,INCOME,Owners,28192,134696.381,90875.0,168831.601
6,Rp,All,19735,1.079,1.0,0.698
7,Rp,Renters,19735,1.079,1.0,0.698
8,YEARS_US,All,48527,10.987,7.0,10.017
9,YEARS_US,Renters,19735,6.126,4.0,6.865
10,YEARS_US,Owners,28192,14.389,12.0,10.455
11,HC_WCI,All,19735,0.641,0.612,0.27
12,HC_WCI,Renters,19735,0.641,0.612,0.27
